MODULO;CODIGOPARAMETRO;DESCRIPCIONPARAMETRO;FUENTE;VALORPORDEFECTO;VALORPORCENTRO;ORGANIZACION;CENTRO;SERVICIO
Gestión de agendas y citas;PA_PASSCH0005;Entidad  tarifa por defecto para hospitalización;SFERE;01-COSAL/01-ESTMEDC;COSAL/CESTMED;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Gestión de agendas y citas;PA_PASSCH0006;Entidad  tarifa por defecto para Atención de día;SFERE;CONSO/CONSO;COSAL/CEPQUI;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Gestión de agendas y citas;PA_PASSCH0007;Tiempo de auto-refresco de las actividades de enfermería de consultas externas;SFERE;30;;;;
Gestión de agendas y citas;PA_PASSCH0009;Unidad funcional por defecto para las UBAS Virtuales de Consultas Externas;SFERE;;SEVCEX;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Gestión de agendas y citas;PA_PASSCH0010;Días máximos según ley de garantía;SFERE;60;;;;
Gestión de agendas y citas;PA_PASSCH0013;Entidad  tarifa por defecto para Consultas Externas;SFERE;;COSAL/CCONSUL;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Gestión de agendas y citas;PA_PASSCH0014;Rango que van a usar los selectores de citación de consultas Externas (OFS,FS,S);SFERE;S;;;;
Gestión de agendas y citas;PA_PASSCH0024;Cargar automáticamente la actividad programada con la actividad a citar en el proceso de citación (true/false);SFERE;false;;;;
Gestión de agendas y citas;PA_PASSCH0025;Al confirmar cita, poner como fecha de alta y admisión del episodio secundario la fecha de la cita en caso de que se confirme una cita con fecha ya pasada (true/false);SFERE;false;true;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Gestión de agendas y citas;PA_PASSCH0026;Motivo por defecto de envío a lista de espera;SFERE;SH;;;;
Gestión de agendas y citas;PA_PASSCH0027;Fecha deseada obligatoria a la hora de diferir una cita;SFERE;false;;;;
Gestión de agendas y citas;PA_PASSCH0028;Parámetro que indica si queremos imprimir los consentimientos informados asociados al procedimiento al crear una inclusión RDQ en CEX;SFERE;0;;;;
Gestión de agendas y citas;PA_PASSCH0029;El sistema permite citación web;SFERE;true;true;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Gestión de agendas y citas;PA_PASSCH0019;Diferencia de horas entre citas con historia;SFERE;;;;;
Gestión de agendas y citas;PA_PASSCH0020;Fecha y hora de activación de tramos de agendas;SFERE;false;;;;
Gestión de agendas y citas;PA_PASSCH0021;Motivo de Consulta por defecto de Consultas Externas;SFERE;PET_PROP;;;;
Gestión de agendas y citas;PA_PASSCH0022;Se permite citar varias primeras consultas con el mismo motivo de consulta;SFERE;true;;;;
Gestión de agendas y citas;PA_PASSCH0015;Permitir pedir pruebas para episodios solicitados de consultas externas;SFERE;true;;;;
Gestión de agendas y citas;PA_PASSCH0023;El sistema permite la citación en base a la agenda, servicio y actividad seleccionada;SFERE;0;;;;
Gestión de agendas y citas;PA_PASSCH0030;Número de Horas entre Citas del Centro de Referencia (Valor a nulo no aplica);SFERE;;;;;
Gestión de agendas y citas;PA_PASSCH0031;Número de Horas entre Citas de un Centro (Valor a nulo no aplica);SFERE;;;;;
Gestión de agendas y citas;PA_PASSCH0045;Familia de artículo para asignar equipamiento. Para añadir más de una familia debe separarlas por @ ;SFERE;;EQPS;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Gestión de agendas y citas;PA_PASSCH0046;Motivo de movimiento de ficha al crear una cita;SFERE;;;;;
Gestión de agendas y citas;PA_PASSCH0052;Contrarreferencia final obligatoria al dar de alta episodio de consultas externas;SFERE;false;;;;
Gestión de agendas y citas;PA_PASSCH0032;Tipo de diagnóstico por defecto para episodios CEX en Historia Clínica;SFERE;;;;;
Gestión de agendas y citas;PA_PASSCH0044;Determina obligatoriedad del campo especialidad para la creación o modificación de agendas en consultas externas.;SFERE;false;;;;
Gestión de agendas y citas;PA_PASSCH0051;Código de la plantilla de formulario asociada al Tapiz de Consultas Externas como Datos rápidos;SFERE;;;;;
Gestión de agendas y citas;PA_PASSCH0041;Código del proveedor de servicios de telecomunicaciones utilizado en las teleconsultas;SFERE;;;;;
Gestión de agendas y citas;PA_PASSCH0053;Obligatoriedad del motivo de alta al marcar no presentación;SFERE;false;;;;
Enfermería;PA_CISNUR0007;Hora de inicio del turno de noche de enfermería;SFERE;20:00;22:00;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Enfermería;PA_CISNUR0010;Código del Servicio de Enfermería;SFERE;;03-PES;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Enfermería;PA_CISNUR0011;Máximo número de actividades que se visualizan en la búsqueda del listado de actividades;SFERE;1500;;;;
Enfermería;PA_CISNUR0005;Tiempo permitido para modificar una valoración de un paciente;SFERE;;;;;
Enfermería;PA_CISNUR0001;Tiempo permitido para eliminar un plan estándar de un paciente;SFERE;;;;;
Enfermería;PA_CISNUR0002;Tiempo permitido para eliminar una valoración de un paciente;SFERE;;;;;
Enfermería;PA_CISNUR0003;Código de la Intervención NIC que indica si el paciente está en balance;SFERE;IN_BAL;;;;
Enfermería;PA_CISNUR0004;Tiempo permitido para modificar un plan estándar de un paciente;SFERE;;;;;
Enfermería;PA_CISNUR0006;Hora de inicio del turno de mañana de enfermería;SFERE;08:00;08:00;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Enfermería;PA_CISNUR0008;Hora de inicio del turno de tarde de enfermería;SFERE;15:00;15:00;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Enfermería;PA_CISNUR0028;Tiempo (en horas) a pasado para permitir introducir un apunte en la gráfica de enfermería;SFERE;;;;;
Enfermería;PA_CISNUR0029;Tiempo (en horas) a futuro para permitir introducir un apunte en la gráfica de enfermería;SFERE;;;;;
Enfermería;PA_CISNUR0033;Gestión de botiquines;SFERE;0;;;;
Enfermería;PA_CISNUR0035;Parámetro por centro para validar de una vez todas las actividades de administración de medicación marcadas;SFERE;true;;;;
Enfermería;PA_CISNUR0036;Parámetro que habilita la posibilidad de impresión de una petición una vez identificada la muestra;SFERE;false;;;;
Enfermería;PA_CISNUR0037;Código del plan de estándar específico para partos y cesáreas;SFERE;;;;;
Enfermería;PA_CISNUR0038;Número de cuidados de enfermería recientes a mostrar;SFERE;10;;;;
Enfermería;PA_CISNUR0032;Parámetro que activa la visualización de la información de sistemas muestrales en la pantalla de confirmación de actividades (true/false);SFERE;false;;;;
Enfermería;PA_CISNUR0034;Alerta para aviso y gestión de actividades de enfermería no validadas;SFERE;false;;;;
Enfermería;PA_CISNUR0039;Prevalece la hora de referencia por defecto a la hora actual del sistema para el valor de la hora de referencia en las pautas de prescripciones de medicación;SFERE;true;;;;
Enfermería;PA_CISNUR0012;"Xkey de la actividad de enfermería correspondiente a ""Tomar Peso""";SFERE;C126001;;;;
Enfermería;PA_CISNUR0013;"Xkey de la actividad de enfermería correspondiente a ""Tomar Altura""";SFERE;C126002;;;;
Enfermería;PA_CISNUR0017;Parámetro para deshabilitar función de copiar/pegar en Evoluciones;SFERE;false;;;;
Enfermería;PA_CISNUR0014;Tiempo permitido para modificar una vía de un paciente;SFERE;PA_CISMED0032;;;;
Enfermería;PA_CISNUR0015;Tiempo permitido para eliminar una vía de un paciente;SFERE;PA_CISMED0032;;;;
Enfermería;PA_CISNUR0016;El sistema gestiona vías del paciente;SFERE;0;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Enfermería;PA_CISNUR0020;"Xkey de la constante de enfermería correspondiente a ""Tensión Arterial""";SFERE;C668003;;;;
Enfermería;PA_CISNUR0022;Permite realizar devoluciones de carros desde estacion de enfermeria->reebolso ;SFERE;false;;;;
Enfermería;PA_CISNUR0021;Alto en pixel del apartado graficado en constantes vitales y constantes respiratorias ;SFERE;300;;;;
Enfermería;PA_CISNUR0023;El sistema gestiona la posibilidad de modificar una intervención desde el listado de actividades;SFERE;1;;;;
Enfermería;PA_CISNUR0024;Obliga asociar un área de enfermería al personal de enfermería;SFERE;0;;;;
Enfermería;PA_CISNUR0025;Indica si en el Listado de Actividades, las actvididades de enfermería sólo se mostrarán al pulsar en un botón y no al seleccionar la intervención NIC;SFERE;true;;;;
Enfermería;PA_CISNUR0026;Plan de Cuidados. Check marcado para ver las valoraciones de un episodio;SFERE;1;;;;
Enfermería;PA_CISNUR0027;Activa la funcionalidad Notificación de enfermeria;SFERE;false;;;;
Enfermería;PA_CISNUR0041;Muestra los períodos de balance en la gráfica;SFERE;true;;;;
Enfermería;PA_DISMOR0030;Máscara a aplicar al número de muestra a nivel de servicio;SFERE;;;;;
Enfermería;PA_CISNUR0042;Parámetro para indica el valor de la fecha de realización de la actividad;SFERE;1;;;;
Enfermería;PA_CISNUR0043;Fecha realización de la administración de medicación debe estar en blanco;SFERE;false;;;;
Estación Clínica;PA_CISMED0059;Indica el número de horas a partir de las cuales ya no se buscarán las prescripciones puntuales a la hora de validar la medicación;SFERE;;;;;
Estación Clínica;PA_CISMED0058;Gestionar el nivel de control de las evoluciones;SFERE;false;;;;
Estación Clínica;PA_CISMED0060;Código del tipo de antecedente asociado a los datos personales;SFERE;DP;;;;
Estación Clínica;PA_CISMED0062;El sistema permite gestionar listas de verificación de indicaciones médicas;SFERE;true;;;;
Estación Clínica;PA_CISMED0076;Código de tipo de receta que se asigna a los medicamentos no codificados en la receta ambulatoria;SFERE;NOR;;;;
Estación Clínica;PA_COMENC0005;EEV: Tipo de documento al que se asocian los adjuntos;SFERE;EEV;;;;
Estación Clínica;PA_CISMED0082;Tiempo de prescripciones puntuales en minutos;SFERE;5;;;;
Estación Clínica;PA_CISMED0083;Al crear interconsulta, valor por defecto de crear como evolución;SFERE;false;;;;
Estación Clínica;PA_CISMED0024;Corresponde al código de la prueba de laboratorio para identificar la Creatinina;SFERE;LAB.1.01.15;;;;
Estación Clínica;PA_CISMED0027;Corresponde al código de la prueba de laboratorio para el Potasio;SFERE;LAB.1.01.29;;;;
Estación Clínica;PA_CISMED0031;Es el tiempo mínimo (menor) de los tres tipos de parámetros temporales definidos en el sistema;SFERE;0;;;;
Estación Clínica;PA_CISMED0035;Código del Servicio de Banco de Sangre;SFERE;TRANS;03-LAB;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Estación Clínica;PA_CISMED0038;Cuántas gotas por minuto son necesarias para prefundir 500ml en 24 horas.;SFERE;7;;;;
Estación Clínica;PA_CISMED0047;Visualizar el botón de Modificar Prescripción en la pantalla de Prescripciones de Medicación;SFERE;0;;;;
Estación Clínica;PA_CISMED0005;Este parámetro identifica el número de horas que divide a las incidencias más antiguas de las incidencias medias.;SFERE;24;;;;
Estación Clínica;PA_CISMED0006;Tiempo permitido para modificar una incidencia de un paciente;SFERE;SEV_T_EVO_MOD;;;;
Estación Clínica;PA_CISMED0008;Tiempo permitido para modificar una evolución de un paciente;SFERE;SEV_T_EVO_MOD;;;;
Estación Clínica;PA_CISMED0009;Indica si el sistema incluye el circuito de Validaciones médicas de las Prescripciones;SFERE;false;;;;
Estación Clínica;PA_CISMED0010;Tiempo permitido para eliminar una alergia de un paciente;SFERE;;;;;
Estación Clínica;PA_CISMED0012;Tiempo permitido para eliminar un diagnóstico de un paciente;SFERE;;;;;
Estación Clínica;PA_CISMED0001;Tiempo permitido para eliminar una evolución de un paciente;SFERE;SEV_T_EVO_ELI;;;;
Estación Clínica;PA_CISMED0002;Tiempo permitido para eliminar una incidencia de un paciente;SFERE;SEV_T_EVO_ELI;;;;
Estación Clínica;PA_CISMED0003;Tiempo permitido para eliminar una prescripción de medicación de un paciente;SFERE;;PA_CISMED0032;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Estación Clínica;PA_CISMED0004;Este parámetro identifica el número de horas que divide a las incidencias más actuales de las incidencias medias.;SFERE;12;;;;
Estación Clínica;PA_CISMED0007;Tiempo permitido para modificar una prescripción de medicación de un paciente;SFERE;;;;;
Estación Clínica;PA_CISMED0011;Tiempo permitido para eliminar un antecedente de un paciente;SFERE;;;;;
Estación Clínica;PA_CISMED0015;Tiempo permitido para eliminar un procedimiento de un paciente;SFERE;;;;;
Estación Clínica;PA_CISMED0019;Tiempo permitido para modificar un diagnóstico de un paciente;SFERE;;;;;
Estación Clínica;PA_CISMED0023;Tiempo permitido para modificar una transfusión de un paciente;SFERE;;;;;
Estación Clínica;PA_CISMED0029;Tiempo (en horas), pasadas las cuales, se eliminan los borradores de evoluciones de un paciente.;SFERE;;;;;
Estación Clínica;PA_CISMED0036;Código del Servicio de Farmacia;SFERE;FAR;03-FAR;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Estación Clínica;PA_PASSCH0011;Número de peticiones recientes a mostrar;SFERE;10;;;;
Estación Clínica;PA_PASSCH0012;Número de días atrás para buscar las últimas peticiones;SFERE;10;;;;
Estación Clínica;PA_CISMED0039;Posibilidad de buscar medicamentos no prescribibles desde la modificación de una prescripción pendiente de autorización;SFERE;;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Estación Clínica;PA_CISMED0013;Tiempo permitido para eliminar una interconsulta de un paciente;SFERE;;;;;
Estación Clínica;PA_CISMED0014;Tiempo permitido para eliminar una prescripción de cuidados de un paciente;SFERE;;;;;
Estación Clínica;PA_CISMED0016;Tiempo permitido para eliminar una transfusión de un paciente;SFERE;;;;;
Estación Clínica;PA_CISMED0017;Tiempo permitido para modificar una alergia de un paciente;SFERE;;;;;
Estación Clínica;PA_CISMED0018;Tiempo permitido para modificar un antecedente de un paciente;SFERE;;;;;
Estación Clínica;PA_CISMED0020;Tiempo permitido para modificar una interconsulta de un paciente;SFERE;;;;;
Estación Clínica;PA_CISMED0021;Tiempo permitido para modificar una prescripción de cuidados de un paciente;SFERE;;;;;
Estación Clínica;PA_CISMED0022;Tiempo permitido para modificar un procedimiento de un paciente;SFERE;;;;;
Estación Clínica;PA_CISMED0025;Corresponde al código de la prueba de laboratorio para identificar el Factor Glomerular;SFERE;LAB.1.02.9;;;;
Estación Clínica;PA_CISMED0026;Corresponde al código de la prueba de laboratorio para identificar el INR;SFERE;;LAB.2.3.992;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Estación Clínica;PA_CISMED0028;Código de la Intervención NIC que se genera tras crear una solicitud de trasfusión para un paciente;SFERE;8100;;;;
Estación Clínica;PA_CISMED0030;Porcentaje para el redondeo de la dosis. Este porcentaje se aplica a la conversión entre Unidad de Prescripción y Unidad Logística;SFERE;1;;;;
Estación Clínica;PA_CISMED0032;Es el tiempo medio de los tres tipos de parámetros temporales definidos en el sistema;SFERE;5;;;;
Estación Clínica;PA_CISMED0033;Es el tiempo máximo (mayor) de los tres tipos de parámetros temporales definidos en el sistema;SFERE;999999999;;;;
Estación Clínica;PA_CISMED0034;Código de la Intervención NIC que se crea como realizada al Registrar la realización de la transfusión a un paciente;SFERE;TRANS;;;;
Estación Clínica;PA_CISMED0037;Código del Servicio de Nutrición;SFERE;;03-ALI;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Estación Clínica;PA_CISMED0044;Número máximo de medicamentos permitidos en una prescripción ambulatoria;SFERE;1;;;;
Estación Clínica;SEV_T_EVO_MOD;Tiempo de modificación de evoluciones;SFERE;10;480;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Estación Clínica;SEV_T_EVO_ELI;Tiempo de eliminación de evoluciones;SFERE;2;480;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Estación Clínica;PA_CISMED0040;Hora máxima hasta la que estará vigente una prescripción de medicación (sólo si está activado el circuito de validación de prescripciones);SFERE;08:00;;;;
Estación Clínica;PA_CISMED0041;Indicativo si se desea presentar la opción Consultar en el popup del resumen de historia clínica;SFERE;1;;;;
Estación Clínica;PA_CISMED0042;Indica si el sistema permite o no realizar prescripciones ambulatorias;SFERE;0;1;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Estación Clínica;PA_CISMED0043;Si en la búsqueda de prescripciones, sólo aparece marcardo el check Prescripción intrahospitalaria (1) o sólo el de Prescripciones Ambulatorias (2);SFERE;1;;;;
Estación Clínica;PA_CISMED0046;Duración de vigencia de una prescripción ambulatoria (en días);SFERE;1;;;;
Estación Clínica;PA_CISMED0063;Número máximo de registros a mostrar en cada tabla del resumen de Historia Clínica;SFERE;10;;;;
Estación Clínica;PA_CISMED0064;Número de evoluciones recientes a mostrar;SFERE;10;;;;
Estación Clínica;PA_COMENC0001;Tipo Formulario asociado a las Enfermedades de Especial Vigilancia;SFERE;FRM_EEV;;;;
Estación Clínica;PA_COMENC0002;El sistema gestiona enfermedades de especial vigilancia;SFERE;0;0;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Estación Clínica;PA_CISMED0050;Define la hora de referencia por defecto que se muestra durante la prescripción.;SFERE;09:00;;;;
Estación Clínica;PA_CISNUR0018;Obligatoriedad de seleccionar Diagnóstico codificado en las pantallas de Diagnósticos y Procedimientos.;SFERE;false;true;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Estación Clínica;PA_CISNUR0019;Obligatoriedad de seleccionar Procedimiento codificado en las pantallas de Diagnósticos y Procedimientos.;SFERE;false;true;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Estación Clínica;PA_CISMED0051;El sistema permite modificar y eliminar diagnósticos y procedimientos cerrados;SFERE;1;;;;
Estación Clínica;PA_CISMED0052;Servicio de laboratorio para peticiones externas.;SFERE;;48;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Estación Clínica;PA_CISMED0053;Código del árbol de historia que se debe precargar al entrar en la historia clínica;SFERE;CLIENT_TICARES;;;;
Estación Clínica;PA_CISMED0054;Indica si se desea al crear una prescripción que se registre la localización de la prescripción;SFERE;1;;;;
Estación Clínica;PA_CISMED0055;XKEY del formulario para la  Ficha Especial Confidencial;SFERE;VACIO;;;;
Estación Clínica;PA_CISMED0056;Indica el número de medicamentos que deben mostrarse en la lista de medicamentos recientes por usuario al prescribir un medicamento a paciente;SFERE;25;;;;
Estación Clínica;PA_CISMED0057;Numero  maximo de dias anteriores a buscar en  la pantalla interconsulta(Valor vacio es sin limite);SFERE;;;;;
Emergencias;PA_PASEME0025;Relación entre cte de triaje Toma de tensión arterial(TAS Y TAD);SFERE;C668003;;;;
Emergencias;PA_PASEME0030;Activación del modelo de atención en camilla para los pacientes en urgencias.;SFERE;false;;;;
Emergencias;PA_PASEME0003;Número de días para calcular hiperfrecuentado;SFERE;30;;;;
Emergencias;PA_PASEME0012;Tiempo de auto-refresco para la pantalla de Actividades de Urgencias (en segundos);SFERE;300;;;;
Emergencias;PA_PASEME0013;Motivo de Ingreso de Urgencias por defecto;SFERE;UR;;;;
Emergencias;PA_PASEME0014;Procedencia de Urgencias por defecto;SFERE;;;;;
Emergencias;PA_PASEME0016;Medio de llegada por defecto en la admisión de Urgencias;SFERE;;;;;
Emergencias;PA_PASEME0017;Financiación por defecto en la admisión de Urgencias;SFERE;;;;;
Emergencias;PA_PASEME0019;Entidad  tarifa por defecto para urgencias;SFERE;;;;;
Emergencias;PA_PASEME0021;Parte de Lesiones;SFERE;PJUDC;;;;
Emergencias;PA_PASEME0022;Parte de Defunción;SFERE;DEF;;;;
Emergencias;PA_PASEME0001;Informe de Alta de Urgencias;SFERE;;SEV_URGALT;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Emergencias;PA_PASEME0002;Informe de Alta de Urgencias por Defecto;SFERE;I_URG;;;;
Emergencias;PA_PASEME0004;Número de veces que tiene que acudir un paciente a urgencias para considerarse hiperfrecuentador;SFERE;3;;;;
Emergencias;PA_PASEME0005;Tiempo de comprobación del tiempo de inactividad para las pantallas con auto-refresco (en segundos);SFERE;300;;;;
Emergencias;PA_PASEME0007;Tiempo de auto-refresco para la pantalla de Triaje de Urgencias (en segundos);SFERE;0;;;;
Emergencias;PA_PASEME0008;Tiempo de auto-refresco para la pantalla de Zona de Consulta de Urgencias (en segundos);SFERE;600;;;;
Emergencias;PA_PASEME0010;Sala de espera de Urgencias por defecto para un centro;SFERE;;03-SEU;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Emergencias;PA_PASEME0011;Servicio de Urgencias por defecto para un centro;SFERE;;03-URG;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Emergencias;PA_PASEME0040;Indica si el centro usa ingresos desde Triaje en Urgencias;SFERE;true;;;;
Emergencias;PA_PASEME0041;Indica el número de horas desde que se ingresa en triaje a un paciente, para la admisión del mismo en Urgencias;SFERE;48;;;;
Emergencias;PA_PASEME0042;Abrir ventana crear prescripción puntual al acceder a las prescripciones del paciente en la hoja de consulta de urgencia;SFERE;false;;;;
Emergencias;PA_PASEME0043;Mostrar comentarios de triaje en el informe de alta de urgencias;SFERE;true;;;;
Emergencias;PA_PASEME0044;Formulario asociado a los ingresos de urgencias (pestaña datos adicionales);SFERE;;;;;
Emergencias;PA_PASEME0045;El circuito de Urgencias usa triaje;SFERE;1;;;;
Emergencias;PA_PASEME0046;Destino del alta de urgencias obligatorio.;SFERE;false;;;;
Emergencias;PA_PASEME0047;Ordenación por defecto para el listado de admitidos de Urgencias (ASC=fecha de admisión ascendente, DESC=fecha de admisión descendente).;SFERE;ASC;;;;
Emergencias;PA_PASEME0049;Patología por defecto en Urgencias;SFERE;;;;;
Emergencias;PA_PASEME0050;Desvincular los estados de Urgencias de la ubicación del paciente;SFERE;false;;;;
Emergencias;PA_PASEME0006;Tiempo de auto-refresco para la pantalla de Admisión de Urgencias (en segundos);SFERE;0;;;;
Emergencias;PA_PASEME0009;Tiempo de auto-refresco para la pantalla de Cuadro de Mando de Urgencias (en segundos);SFERE;0;;;;
Emergencias;PA_PASEME0015;Tipo de subepisodio por defecto en la admisión de Urgencias;SFERE;;;;;
Emergencias;PA_PASEME0018;Unidad funcional por defecto para las UBAS Virtuales de Urgencias;SFERE;;03-CURG;ÁREA HOSPITALARIA SEVILLA;H. San Juan de Dios Sevilla;
Emergencias;PA_PASEME0023;Relación entre cte de triaje Toma de FC y su actividad de enfermería;SFERE;C668001;;;;
Emergencias;PA_PASEME0024;Relación entre cte de triaje Control de Sat. O2 y su actividad de enfermería;SFERE;C668005;;;;
Emergencias;PA_PASEME0026;Relación entre cte de triaje Toma de Glucemia y su actividad de enfermería;SFERE;C212001;;;;
Emergencias;PA_PASEME0027;Relación entre cte de triaje Toma de Temp. y su actividad de enfermería;SFERE;C668004;;;;
Emergencias;PA_PASEME0028;Relación entre cte de triaje Toma de FR y su actividad de enfermería;SFERE;C668002;;;;
Emergencias;PA_PASEME0029;Relación entre cte de triaje Cuantificación del dolor y su actividad de enfermería;SFERE;C140001;;;;
Emergencias;PA_PASEME0032;Tiempo de refresco de la pantalla de listado de pronósticos en segundos;SFERE;0;;;;
Emergencias;PA_PASEME0033;Carga de IVM inactivos;SFERE;false;;;;
Emergencias;PA_PASEME0034;Modo de visualización en la zona de consulta (1: Gráfico, 2: Listado, 3: Estados de urgencias).;SFERE;1;;;;
Emergencias;PA_PASEME0035;Tiempo (en minutos) a partir del cual no se pueden deshacer altas de urgencias;SFERE;1440;;;;
Emergencias;PA_PASEME0036; BAU virtual al cual se le asignara los apuntes logistico al dar un alta de urgencia(XKEY);SFERE;VACIO;;;;
Emergencias;PA_PASEME0037;Trasvase automático al ingreso de hospitalización del diagnóstico principal al alta de urgencias;SFERE;false;;;;
Emergencias;PA_PASEME0038;Obligatorio cumplimentar un diagnóstico de ingreso en hospitalización;SFERE;;;;;
Emergencias;PA_PASEME0039;Tiempo (en minutos) que se restarán a la fecha actual para representar los pacientes que han sido dados de alta. ;SFERE;180;;;;
Emergencias;PA_PASEME0058;Tiempo permitido para eliminar un texto de la hoja de consulta;SFERE;;;;;
Emergencias;PA_PASEME0060;Indica si el color principal de la tarjeta de la zona de consulta lo define el triaje(true) en lugar del estado de urgencia (false);SFERE;false;;;;
Emergencias;PA_PASEME0061;Indica el valor de la edad pediátrica para mostrarlo en las tarjetas de la zona de consulta;SFERE;13;;;;
